transcript	module	goodGenes
Solyc06g051980.2.1	darkred	TRUE
Solyc06g052010.1.1	darkred	TRUE
Solyc06g054070.2.1	darkred	TRUE
Solyc06g061240.2.1	darkred	TRUE
Solyc06g064600.1.1	darkred	TRUE
Solyc06g066770.1.1	darkred	TRUE
Solyc06g066780.2.1	darkred	TRUE
Solyc06g068080.2.1	darkred	TRUE
Solyc06g068940.2.1	darkred	TRUE
Solyc06g071110.2.1	darkred	TRUE
Solyc06g071380.2.1	darkred	TRUE
Solyc06g071510.2.1	darkred	TRUE
Solyc06g072890.1.1	darkred	TRUE
Solyc06g073130.2.1	darkred	TRUE
Solyc06g074640.1.1	darkred	TRUE
Solyc06g074980.2.1	darkred	TRUE
Solyc06g081980.1.1	darkred	TRUE
Solyc06g082640.2.1	darkred	TRUE
Solyc06g082840.2.1	darkred	TRUE
Solyc06g083960.1.1	darkred	TRUE
Solyc06g084500.2.1	darkred	TRUE
Solyc07g005570.2.1	darkred	TRUE
Solyc07g005690.2.1	darkred	TRUE
Solyc07g005890.2.1	darkred	TRUE
Solyc07g006330.1.1	darkred	TRUE
Solyc07g007930.2.1	darkred	TRUE
Solyc07g008090.2.1	darkred	TRUE
Solyc07g009150.2.1	darkred	TRUE
Solyc07g015870.2.1	darkred	TRUE
Solyc07g017980.1.1	darkred	TRUE
Solyc07g026670.2.1	darkred	TRUE
Solyc07g026810.2.1	darkred	TRUE
Solyc07g026950.2.1	darkred	TRUE
Solyc07g026960.2.1	darkred	TRUE
Solyc07g032510.2.1	darkred	TRUE
Solyc07g038100.2.1	darkred	TRUE
Solyc07g040720.2.1	darkred	TRUE
Solyc07g040920.2.1	darkred	TRUE
Solyc07g041730.2.1	darkred	TRUE
Solyc07g041930.2.1	darkred	TRUE
Solyc07g042700.2.1	darkred	TRUE
Solyc07g049270.2.1	darkred	TRUE
Solyc07g049300.2.1	darkred	TRUE
Solyc07g053160.2.1	darkred	TRUE
Solyc07g055420.1.1	darkred	TRUE
Solyc07g063040.2.1	darkred	TRUE
Solyc07g063390.2.1	darkred	TRUE
Solyc07g064760.1.1	darkred	TRUE
Solyc07g064850.2.1	darkred	TRUE
Solyc07g065330.2.1	darkred	TRUE
Solyc07g066180.2.1	darkred	TRUE
Solyc07g066630.2.1	darkred	TRUE
Solyc08g005650.2.1	darkred	TRUE
Solyc08g007000.2.1	darkred	TRUE
Solyc08g008040.2.1	darkred	TRUE
Solyc08g013840.2.1	darkred	TRUE
Solyc08g016200.2.1	darkred	TRUE
Solyc08g029120.1.1	darkred	TRUE
Solyc08g029130.2.1	darkred	TRUE
Solyc08g029230.2.1	darkred	TRUE
Solyc08g066700.2.1	darkred	TRUE
Solyc08g067240.2.1	darkred	TRUE
Solyc08g068830.2.1	darkred	TRUE
Solyc08g075070.2.1	darkred	TRUE
Solyc08g076960.1.1	darkred	TRUE
Solyc08g077110.2.1	darkred	TRUE
Solyc08g077130.2.1	darkred	TRUE
Solyc08g077560.2.1	darkred	TRUE
Solyc08g078430.2.1	darkred	TRUE
Solyc08g078690.2.1	darkred	TRUE
Solyc08g079500.2.1	darkred	TRUE
Solyc08g080030.2.1	darkred	TRUE
Solyc08g082560.2.1	darkred	TRUE
Solyc08g083290.2.1	darkred	TRUE
Solyc09g005460.1.1	darkred	TRUE
Solyc09g005580.2.1	darkred	TRUE
Solyc09g007320.2.1	darkred	TRUE
Solyc09g007790.1.1	darkred	TRUE
Solyc09g009630.2.1	darkred	TRUE
Solyc09g010970.2.1	darkred	TRUE
Solyc09g013130.2.1	darkred	TRUE
Solyc09g014760.2.1	darkred	TRUE
Solyc09g015140.2.1	darkred	TRUE
Solyc09g015660.2.1	darkred	TRUE
Solyc09g020010.1.1	darkred	TRUE
Solyc09g042290.1.1	darkred	TRUE
Solyc09g042780.2.1	darkred	TRUE
Solyc09g055590.2.1	darkred	TRUE
Solyc09g057650.2.1	darkred	TRUE
Solyc09g064240.2.1	darkred	TRUE
Solyc09g065690.2.1	darkred	TRUE
Solyc09g065950.2.1	darkred	TRUE
Solyc09g066130.2.1	darkred	TRUE
Solyc09g072570.2.1	darkred	TRUE
Solyc09g074650.2.1	darkred	TRUE
Solyc09g074850.2.1	darkred	TRUE
Solyc09g075520.1.1	darkred	TRUE
Solyc09g075830.2.1	darkred	TRUE
Solyc09g076030.2.1	darkred	TRUE
Solyc09g082530.1.1	darkred	TRUE
Solyc09g089560.2.1	darkred	TRUE
Solyc09g089850.2.1	darkred	TRUE
Solyc09g089860.2.1	darkred	TRUE
Solyc09g090230.1.1	darkred	TRUE
Solyc10g005370.2.1	darkred	TRUE
Solyc10g006400.2.1	darkred	TRUE
Solyc10g006750.2.1	darkred	TRUE
Solyc10g006930.2.1	darkred	TRUE
Solyc10g008560.2.1	darkred	TRUE
Solyc10g008590.1.1	darkred	TRUE
Solyc10g008720.2.1	darkred	TRUE
Solyc10g039370.1.1	darkred	TRUE
Solyc10g044480.1.1	darkred	TRUE
Solyc10g044750.1.1	darkred	TRUE
Solyc10g045420.1.1	darkred	TRUE
Solyc10g045610.1.1	darkred	TRUE
Solyc10g052510.1.1	darkred	TRUE
Solyc10g055410.1.1	darkred	TRUE
Solyc10g076600.1.1	darkred	TRUE
Solyc10g078490.1.1	darkred	TRUE
Solyc10g078550.1.1	darkred	TRUE
Solyc10g080450.1.1	darkred	TRUE
Solyc10g080470.1.1	darkred	TRUE
Solyc10g080490.1.1	darkred	TRUE
Solyc10g080500.1.1	darkred	TRUE
Solyc10g080640.1.1	darkred	TRUE
Solyc10g081090.1.1	darkred	TRUE
Solyc10g081330.1.1	darkred	TRUE
Solyc10g081540.1.1	darkred	TRUE
Solyc10g084520.1.1	darkred	TRUE
Solyc10g085180.1.1	darkred	TRUE
Solyc10g085720.1.1	darkred	TRUE
Solyc10g086490.1.1	darkred	TRUE
Solyc11g006670.1.1	darkred	TRUE
Solyc11g007200.1.1	darkred	TRUE
Solyc11g007340.1.1	darkred	TRUE
Solyc11g007780.1.1	darkred	TRUE
Solyc11g008540.1.1	darkred	TRUE
Solyc11g008760.1.1	darkred	TRUE
Solyc11g010900.1.1	darkred	TRUE
Solyc11g011520.1.1	darkred	TRUE
Solyc11g012910.1.1	darkred	TRUE
Solyc11g013150.1.1	darkred	TRUE
Solyc11g039910.1.1	darkred	TRUE
Solyc11g042490.1.1	darkred	TRUE
Solyc11g042500.1.1	darkred	TRUE
Solyc11g043150.1.1	darkred	TRUE
Solyc11g044540.1.1	darkred	TRUE
Solyc11g045130.1.1	darkred	TRUE
Solyc11g045670.1.1	darkred	TRUE
Solyc11g065680.1.1	darkred	TRUE
Solyc11g066780.1.1	darkred	TRUE
Solyc11g067160.1.1	darkred	TRUE
Solyc11g069290.1.1	darkred	TRUE
Solyc11g069910.1.1	darkred	TRUE
Solyc11g071610.1.1	darkred	TRUE
Solyc11g072070.1.1	darkred	TRUE
Solyc11g072460.1.1	darkred	TRUE
Solyc11g072840.1.1	darkred	TRUE
Solyc12g006920.1.1	darkred	TRUE
Solyc12g007140.1.1	darkred	TRUE
Solyc12g008540.1.1	darkred	TRUE
Solyc12g008550.1.1	darkred	TRUE
Solyc12g008790.1.1	darkred	TRUE
Solyc12g014210.1.1	darkred	TRUE
Solyc12g014410.1.1	darkred	TRUE
Solyc12g015630.1.1	darkred	TRUE
Solyc12g015820.1.1	darkred	TRUE
Solyc12g015830.1.1	darkred	TRUE
Solyc12g017230.1.1	darkred	TRUE
Solyc12g017820.1.1	darkred	TRUE
Solyc12g019060.1.1	darkred	TRUE
Solyc12g019570.1.1	darkred	TRUE
Solyc12g019890.1.1	darkred	TRUE
Solyc12g035490.1.1	darkred	TRUE
