transcript	module	goodGenes
Solyc08g065560.1.1	royalblue	TRUE
Solyc08g065620.1.1	royalblue	TRUE
Solyc08g069180.2.1	royalblue	TRUE
Solyc08g075500.2.1	royalblue	TRUE
Solyc08g075960.2.1	royalblue	TRUE
Solyc08g076710.2.1	royalblue	TRUE
Solyc08g077430.2.1	royalblue	TRUE
Solyc08g077720.2.1	royalblue	TRUE
Solyc08g078420.1.1	royalblue	TRUE
Solyc08g079300.2.1	royalblue	TRUE
Solyc08g079540.2.1	royalblue	TRUE
Solyc08g079710.2.1	royalblue	TRUE
Solyc08g081270.2.1	royalblue	TRUE
Solyc09g007070.1.1	royalblue	TRUE
Solyc09g007190.2.1	royalblue	TRUE
Solyc09g007340.2.1	royalblue	TRUE
Solyc09g010470.2.1	royalblue	TRUE
Solyc09g014350.2.1	royalblue	TRUE
Solyc09g015850.2.1	royalblue	TRUE
Solyc09g015860.1.1	royalblue	TRUE
Solyc09g015870.2.1	royalblue	TRUE
Solyc09g050020.1.1	royalblue	TRUE
Solyc09g050040.1.1	royalblue	TRUE
Solyc09g056100.1.1	royalblue	TRUE
Solyc09g056290.1.1	royalblue	TRUE
Solyc09g059580.1.1	royalblue	TRUE
Solyc09g061930.2.1	royalblue	TRUE
Solyc09g065570.2.1	royalblue	TRUE
Solyc09g066410.1.1	royalblue	TRUE
Solyc09g075210.2.1	royalblue	TRUE
Solyc09g075650.2.1	royalblue	TRUE
Solyc09g075980.2.1	royalblue	TRUE
Solyc09g082270.2.1	royalblue	TRUE
Solyc09g089680.2.1	royalblue	TRUE
Solyc09g089720.1.1	royalblue	TRUE
Solyc09g090760.2.1	royalblue	TRUE
Solyc09g091200.2.1	royalblue	TRUE
Solyc09g091850.2.1	royalblue	TRUE
Solyc09g092460.2.1	royalblue	TRUE
Solyc09g097920.1.1	royalblue	TRUE
Solyc10g006060.2.1	royalblue	TRUE
Solyc10g006990.2.1	royalblue	TRUE
Solyc10g008050.1.1	royalblue	TRUE
Solyc10g008430.1.1	royalblue	TRUE
Solyc10g008710.2.1	royalblue	TRUE
Solyc10g012220.1.1	royalblue	TRUE
Solyc10g018840.1.1	royalblue	TRUE
Solyc10g037880.1.1	royalblue	TRUE
Solyc10g048060.1.1	royalblue	TRUE
Solyc10g049270.1.1	royalblue	TRUE
Solyc10g049590.1.1	royalblue	TRUE
Solyc10g061880.1.1	royalblue	TRUE
Solyc10g062180.1.1	royalblue	TRUE
Solyc10g076250.1.1	royalblue	TRUE
Solyc10g079980.1.1	royalblue	TRUE
Solyc10g081960.1.1	royalblue	TRUE
Solyc10g083720.1.1	royalblue	TRUE
Solyc10g084070.1.1	royalblue	TRUE
Solyc10g084090.1.1	royalblue	TRUE
Solyc10g084440.1.1	royalblue	TRUE
Solyc11g006740.1.1	royalblue	TRUE
Solyc11g007350.1.1	royalblue	TRUE
Solyc11g007470.1.1	royalblue	TRUE
Solyc11g008390.1.1	royalblue	TRUE
Solyc11g011820.1.1	royalblue	TRUE
Solyc11g013760.1.1	royalblue	TRUE
Solyc11g020590.1.1	royalblue	TRUE
Solyc11g021280.1.1	royalblue	TRUE
Solyc11g022390.1.1	royalblue	TRUE
Solyc11g030860.1.1	royalblue	TRUE
Solyc11g031960.1.1	royalblue	TRUE
Solyc11g039980.1.1	royalblue	TRUE
Solyc11g039990.1.1	royalblue	TRUE
Solyc11g045150.1.1	royalblue	TRUE
Solyc11g045430.1.1	royalblue	TRUE
Solyc11g045440.1.1	royalblue	TRUE
Solyc11g056250.1.1	royalblue	TRUE
Solyc11g056270.1.1	royalblue	TRUE
Solyc11g056310.1.1	royalblue	TRUE
Solyc11g056320.1.1	royalblue	TRUE
Solyc11g056330.1.1	royalblue	TRUE
Solyc11g056360.1.1	royalblue	TRUE
Solyc11g056400.1.1	royalblue	TRUE
Solyc11g056410.1.1	royalblue	TRUE
Solyc11g056450.1.1	royalblue	TRUE
Solyc11g056480.1.1	royalblue	TRUE
Solyc11g063500.1.1	royalblue	TRUE
Solyc11g063510.1.1	royalblue	TRUE
Solyc11g063520.1.1	royalblue	TRUE
Solyc11g063530.1.1	royalblue	TRUE
Solyc11g063540.1.1	royalblue	TRUE
Solyc11g063590.1.1	royalblue	TRUE
Solyc11g063600.1.1	royalblue	TRUE
Solyc11g063610.1.1	royalblue	TRUE
Solyc11g065980.1.1	royalblue	TRUE
Solyc11g069180.1.1	royalblue	TRUE
Solyc11g069380.1.1	royalblue	TRUE
Solyc11g069970.1.1	royalblue	TRUE
Solyc11g070160.1.1	royalblue	TRUE
Solyc11g071870.1.1	royalblue	TRUE
Solyc11g072900.1.1	royalblue	TRUE
Solyc12g005480.1.1	royalblue	TRUE
Solyc12g008640.1.1	royalblue	TRUE
Solyc12g009860.1.1	royalblue	TRUE
Solyc12g009940.1.1	royalblue	TRUE
Solyc12g010280.1.1	royalblue	TRUE
Solyc12g010330.1.1	royalblue	TRUE
Solyc12g021320.1.1	royalblue	TRUE
Solyc12g036600.1.1	royalblue	TRUE
Solyc12g038990.1.1	royalblue	TRUE
Solyc12g040330.1.1	royalblue	TRUE
Solyc12g042600.1.1	royalblue	TRUE
Solyc12g043170.1.1	royalblue	TRUE
Solyc12g044170.1.1	royalblue	TRUE
Solyc12g044340.1.1	royalblue	TRUE
Solyc12g044350.1.1	royalblue	TRUE
Solyc12g049220.1.1	royalblue	TRUE
Solyc12g049430.1.1	royalblue	TRUE
Solyc12g049440.1.1	royalblue	TRUE
Solyc12g056530.1.1	royalblue	TRUE
Solyc12g062260.1.1	royalblue	TRUE
Solyc12g088490.1.1	royalblue	TRUE
Solyc12g088940.1.1	royalblue	TRUE
Solyc12g094690.1.1	royalblue	TRUE
Solyc12g096610.1.1	royalblue	TRUE
Solyc12g097030.1.1	royalblue	TRUE
Solyc12g100070.1.1	royalblue	TRUE
TPS12	royalblue	TRUE
